Dataset,Seed,n_classes,total_eps,flat_LR_bal_acc,flat_LR_auprc,flat_LR_MIA,flat_LR_MIA_rf,flat_LR_AIA,flat_RF_bal_acc,flat_RF_MIA_rf,dpgbc_bal_acc,dpgbc_mlp_bal_acc,dpgbc_MIA,dpgbc_MIA_rf,dpgbc_AIA,boundary_rate,MIA_positive_control,dplc_bal_acc,dplc_auprc,dplc_MIA,dplc_MIA_rf,dplc_mean_radius,class_collapse
Waveform,456,3,3.0,0.3333333333333333,0.3974848880444409,0.49851733333333337,0.5167779047619048,,0.2750455084243502,0.5167779047619048,0.5158432816865633,0.5066569299805267,0.5081890476190476,0.499816380952381,,1.0,0.8175074285714286,0.514234611802557,0.7412415286132553,0.5009219047619048,0.499816380952381,3.074669965742646,0
Waveform,789,3,3.0,0.39744729489458974,0.5319309352172203,0.5027348571428571,0.5607824761904762,,0.3776246719160105,0.5607824761904762,0.5867729235458471,0.3718779104224876,0.4908977142857142,0.5055392380952382,,0.875,0.8206366666666667,0.43436203539073753,0.7095011398664112,0.5035729523809525,0.5055392380952382,3.073173898840577,0
Waveform,101,3,3.0,0.4518086952840572,0.5808414584191892,0.5004373333333334,0.8088516190476192,,0.28337460841588347,0.8088516190476192,0.5047942595885192,0.5549223181779697,0.5037144761904762,0.5045908571428571,,1.0,0.8275709523809524,0.5631826263652527,0.7747252869462713,0.5076912380952381,0.5045908571428571,3.073423416094929,0
Vehicle,42,4,3.0,0.25,0.30710193809615305,0.4804945201106618,0.9462518620983188,,0.23846153846153847,0.9462518620983188,0.22243589743589742,0.25,0.4877500532028091,0.5352468610342626,,1.0,0.7411583581613109,0.25,0.2072684492287513,0.49242525005320287,0.5352468610342626,2.0168685872641077,0
Vehicle,123,4,3.0,0.25,0.25921475528467036,0.4983174611619493,0.9675595871462013,,0.21923076923076923,0.9675595871462013,0.31568509615384616,0.29743589743589743,0.4922190891679081,0.4798028835922537,,1.0,0.7402406097041925,0.27984775641025644,0.40705051992044083,0.47235449031708876,0.4798028835922537,2.05380955115302,0
Vehicle,456,4,3.0,0.25,0.33517005229349606,0.5079804213662481,0.9239399340285166,,0.25442708333333336,0.9239399340285166,0.2375,0.3961538461538462,0.4882089274313683,0.5088615928921048,,1.0,0.740802564375399,0.3993589743589744,0.3602402576039823,0.4898183124068951,0.5088615928921048,2.009775308197389,0
Vehicle,789,4,3.0,0.25,0.23486249948303584,0.5203700255373483,0.5907440412853799,,0.25,0.5907440412853799,0.25,0.26346153846153847,0.49803149606299213,0.5164130666099169,,1.0,0.7479982443072994,0.25,0.3599301305320811,0.49246515216003406,0.5164130666099169,2.0280352888363518,0
Vehicle,101,4,3.0,0.2709735576923077,0.3200089347364413,0.4944403064481805,0.40994094488188976,,0.25,0.40994094488188976,0.35993589743589743,0.25,0.5089314215790595,0.4980414715896999,,1.0,0.7398449138114493,0.3769230769230769,0.3886071939715357,0.5076545541604597,0.4980414715896999,2.0260831833985593,0
Segment,42,7,3.0,0.10533910533910532,0.10946345908826473,0.48657794483397454,0.883725495970394,,0.1544011544011544,0.883725495970394,0.329004329004329,0.40692640692640697,0.49844054111215513,0.5053552576743671,,0.6666666666666666,0.576844511909447,0.354978354978355,0.5454465375545158,0.5056180677702014,0.5053552576743671,2.0286100680350088,0
Segment,123,7,3.0,0.13564213564213565,0.2376594910667471,0.4871004416458962,0.6212411240240554,,0.14285714285714285,0.6212411240240554,0.5007215007215008,0.4329004329004329,0.4960565099711668,0.49513645153719366,,0.8571428571428571,0.5544289078611899,0.3823953823953824,0.5751607927898104,0.5015732909981518,0.49513645153719366,1.9990128283749413,0
