Dataset,Seed,sampling_mode,marginal_ks,marginal_wasserstein,correlation_mae,tstr_acc,trtr_acc,tstr_minus_trtr,bal_acc,mia_rf
Ionosphere,42,uniform,0.30154607297464436,0.15694601090638396,0.2382190499949446,0.6273219814241486,0.8184984520123839,-0.19117647058823528,0.6273219814241486,0.45186753946861763
Ionosphere,42,gaussian,0.36042053184910333,0.1676515534786103,0.23524765789557928,0.8037925696594428,0.8184984520123839,-0.014705882352941124,0.8037925696594428,0.4554485945321525
Ionosphere,123,uniform,0.323747680890538,0.16408544216984827,0.24856972577447894,0.7410990712074303,0.7991486068111455,-0.058049535603715174,0.7410990712074303,0.47685791297651137
Ionosphere,123,gaussian,0.37855723511461215,0.16669628205945086,0.24916695418367044,0.6853715170278638,0.7991486068111455,-0.11377708978328172,0.6853715170278638,0.4975356180207932
Ionosphere,456,uniform,0.30072652860109306,0.1543802849666896,0.23037436313862017,0.6617647058823529,0.8285603715170279,-0.16679566563467496,0.6617647058823529,0.47073546399691946
Ionosphere,456,gaussian,0.35674062677547,0.1691355332088631,0.228077759587592,0.6706656346749226,0.8285603715170279,-0.1578947368421053,0.6706656346749226,0.4841162880246438
Ionosphere,789,uniform,0.3203533593777496,0.1660209644544237,0.2410722363913141,0.603328173374613,0.8738390092879257,-0.2705108359133127,0.603328173374613,0.5443011166730843
Ionosphere,789,gaussian,0.35961757947820666,0.1683037013752067,0.24245643403912256,0.5054179566563468,0.8738390092879257,-0.36842105263157887,0.5054179566563468,0.5062764728532922
Ionosphere,101,uniform,0.30408188302925143,0.1507661910036761,0.2382097649037634,0.6722136222910217,0.831656346749226,-0.1594427244582043,0.6722136222910217,0.5747785906815556
Ionosphere,101,gaussian,0.3432246951043944,0.15976764129951154,0.24067571307147834,0.6578947368421053,0.831656346749226,-0.17376160990712064,0.6578947368421053,0.5166345783596458
Sonar,42,uniform,0.5174712643678161,0.26754197319351614,0.2376875787058404,0.5,0.7961460446247464,-0.29614604462474636,0.5,0.4492610837438423
Sonar,42,gaussian,0.6386206896551724,0.2734263178284693,0.24038964129905488,0.6414807302231238,0.7961460446247464,-0.15466531440162257,0.6414807302231238,0.5285166940339354
Sonar,123,uniform,0.527741027445461,0.2711736771124881,0.24303678830425593,0.5,0.7885395537525355,-0.2885395537525355,0.5,0.47345374931581824
Sonar,123,gaussian,0.6394174681366799,0.2782826775826706,0.24180344471159723,0.4249492900608519,0.7885395537525355,-0.36359026369168357,0.4249492900608519,0.5529282977558839
Sonar,456,uniform,0.5268367186269879,0.27292078752554066,0.24053773942832649,0.5126774847870182,0.7494929006085194,-0.23681541582150112,0.5126774847870182,0.569567597153804
Sonar,456,gaussian,0.6387663360100772,0.2778439532596268,0.23741437065246812,0.5101419878296146,0.7494929006085194,-0.23935091277890475,0.5101419878296146,0.5074986316365626
Sonar,789,uniform,0.5241513147535821,0.27435341725296036,0.24295059005630262,0.5,0.7150101419878296,-0.21501014198782964,0.5,0.4762452107279694
Sonar,789,gaussian,0.6453393166430483,0.2787445818426667,0.24314274568710673,0.38488843813387424,0.7150101419878296,-0.3301217038539554,0.38488843813387424,0.4079912424740011
Sonar,101,uniform,0.5186214878671775,0.27382323283523075,0.2417171978396824,0.5248478701825557,0.7910750507099391,-0.26622718052738337,0.5248478701825557,0.5043240284619595
Sonar,101,gaussian,0.620690453384419,0.27078081745597476,0.24243520264770976,0.6800202839756593,0.7910750507099391,-0.11105476673427983,0.6800202839756593,0.5360700602079912
Wine,42,uniform,0.2546271813855103,0.11671334392124143,0.3033609677950188,0.35767195767195764,0.9682539682539683,-0.6105820105820106,0.35767195767195764,0.49507168458781364
Wine,42,gaussian,0.2910751332221454,0.10351869968470331,0.30700786164127625,0.5994708994708995,0.9682539682539683,-0.36878306878306877,0.5994708994708995,0.47491039426523296
Wine,123,uniform,0.273430826180694,0.11987103571454026,0.30802631265434294,0.12010582010582009,0.9841269841269842,-0.8640211640211641,0.12010582010582009,0.5577956989247312
Wine,123,gaussian,0.34450636618801617,0.12127976735096829,0.31730054019954596,0.45925925925925926,0.9841269841269842,-0.5248677248677249,0.45925925925925926,0.4864097968936679
Wine,456,uniform,0.2841191066997519,0.1347481166086909,0.3234191857505343,0.5142857142857142,1.0,-0.48571428571428577,0.5142857142857142,0.5179211469534051
Wine,456,gaussian,0.30645161290322587,0.1080131900683726,0.32929330428145015,0.5714285714285715,1.0,-0.4285714285714285,0.5714285714285715,0.5101553166069295
Wine,789,uniform,0.25586556113700093,0.11771101907554574,0.2929441894819965,0.42063492063492064,0.9523809523809524,-0.5317460317460319,0.42063492063492064,0.48566308243727596
Wine,789,gaussian,0.3084135245818959,0.10616416174862582,0.3202290997236596,0.5174603174603175,0.9523809523809524,-0.43492063492063493,0.5174603174603175,0.46609916367980886
Wine,101,uniform,0.28510258427646307,0.1331027107940842,0.3060473597328074,0.7185185185185184,0.9682539682539683,-0.2497354497354498,0.7185185185185184,0.482078853046595
Wine,101,gaussian,0.30855978534971457,0.11092386102142086,0.33033205412693223,0.5746031746031747,0.9682539682539683,-0.3936507936507936,0.5746031746031747,0.5648148148148149
WisconsinOriginal,42,uniform,0.5507951727878506,0.24565150033388183,0.5764879507556288,0.7835735171261486,0.9603696741854637,-0.17679615705931506,0.7835735171261486,0.4841667517093581
WisconsinOriginal,42,gaussian,0.6396501627150163,0.27008940028600203,0.5610731855035865,0.818295739348371,0.9603696741854637,-0.14207393483709274,0.818295739348371,0.5195275028064088
